id,repo_id,label,url,commit message,commitDate,java_file_change_count,line_change_count,sampling_commit
5300,3,3,https://github.com/square/retrofit/commit/478e1ddfc774ae990a5efd3143c9e7e95994942c,Provide a setter to set strict mode to false,2014-11-19T23:15:53Z,1,13,0
4415,2,2,https://github.com/apache/dubbo/commit/6a7717970fd3abde99651d405dc1fd75bedfac1c,Update OverrideServiceImpl.java <enter>  <enter> fix the bug: cant enable override,2017-10-10T09:06:02Z,1,2,0
4221,2,0,https://github.com/apache/dubbo/commit/71e04fb634bf76d47c9ae55637db72fd7de50076,"Fix #1411 Java Locale use '_' split language, country, variant. (#1413)",2018-04-04T03:01:26Z,3,86,0
15744,5,0,https://github.com/spring-projects/spring-boot/commit/b34e752db6d8bad7d040d19be545e3cfc57f3dcd,Ensure checking customizer ordering <enter>  <enter> See gh-15603,2019-01-03T01:19:20Z,1,7,0
2606,2,0,https://github.com/apache/dubbo/commit/d6672afbee70a9fea98a876a225ccb7ea17e028a,polish NetUtils#matchIpRange (#5773),2020-04-02T13:23:04Z,1,17,0
8345,4,2,https://github.com/square/okhttp/commit/638ae21c7a6edc0e51bc624a80dfbc6fb8aa4236,"safer check for invalid values, without catching OOM",2013-08-29T15:17:24Z,1,8,0
2912,2,2,https://github.com/apache/dubbo/commit/15d808446d4bebc3b87f986ccc657f9e5baff728,Fix Dubbo-3990 #3990 (#5247),2019-10-29T01:48:17Z,1,3,0
271,1,0,https://github.com/junit-team/junit4/commit/178f854e4c7e31ece6d71f5aa4433f0432349f4f,Make stylistic changes <enter>  <enter> Put { on first line with a space before it,2013-01-09T22:35:07Z,1,13,0
9472,5,2,https://github.com/spring-projects/spring-boot/commit/c355b95f6c744191e9d90623281190b783542cc2,Fix conditions that lead to auto-configure PushGateway <enter>  <enter> See gh-22919,2020-08-12T12:42:46Z,1,9,0
10040,5,0,https://github.com/spring-projects/spring-boot/commit/0f9e8315bca4e3c8be824c2c1a1b7ec6defdc734,Replace use of deprecated Reactor MonoProcessor in tests <enter>  <enter> Fixes gh-23627,2020-10-09T20:14:32Z,1,13,0
4790,3,0,https://github.com/square/retrofit/commit/ce6e0d17005afd09c46e4fe6cf40643b0913c59d,"`URL` overload for `Retrofit.Builder#baseUrl` <enter>  <enter> Functionally does nothing, just somewhat cleaner to be able to do `baseUrl(URL)` than `baseUrl(URL#toString());` if handling a `URL` rather than `String`. <enter> Used `HttpUrl.get(String)` as `HttpUrl.get(URL)` returns null instead of throwing an exception.",2019-05-30T16:52:37Z,2,21,0
15589,5,0,https://github.com/spring-projects/spring-boot/commit/e233ea7f546fcbc5fccf972bc70c26373103444c,Fix undertow access_log file name <enter>  <enter> Undertow 1.3.2 changed the default access log file suffix from '.log' <enter> to just 'log'. Thus we need to adapt the file name pattern to include <enter> the missing dot. <enter>  <enter> Closes gh-4670,2015-12-03T11:21:37Z,1,2,0
1511,1,2,https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2,Fix ResultMatchers#hasFailureContaining (#1292) <enter>  <enter> ResultMatchers.hasFailureContaining() should not match when the given PrintableResult has no failures.,2016-09-18T17:34:02Z,2,37,0
362,1,0,https://github.com/junit-team/junit4/commit/a90b496a6595856066504baf4f737fb853a6e45d,"Ensure exceptions from methodBlock() don't result in unrooted tests. <enter>  <enter> The introduction of the runLeaf() method in BlockJUnit4ClassRunner in <enter> JUnit 4.9 introduced a regression with regard to exception handling. <enter>  <enter> Specifically, the invocation of methodBlock() is no longer executed <enter> within a try-catch block as was the case in previous versions of JUnit. <enter>  <enter> Custom modifications to methodBlock() or the methods it invokes may in <enter> fact throw exceptions. In such cases, exceptions thrown from <enter> methodBlock() cause the current test execution to abort immediately. As <enter> a result, the failing test method is unrooted in test reports, and <enter> subsequent test methods are never invoked. Furthermore, RunListeners <enter> registered with JUnit are not notified. <enter>  <enter> This commit addresses this issue by wrapping the invocation of <enter> methodBlock() within a try-catch block. If an exception is not thrown, <enter> the resulting Statement is passed to runLeaf(). If an exception is <enter> thrown, it is wrapped in a Fail statement which is passed to runLeaf(). <enter>  <enter> Closes #1066 <enter> Closes #1082",2015-02-15T20:53:52Z,3,109,0
8103,4,0,https://github.com/square/okhttp/commit/6b17f9edf338173c6491cc30feeb6e4ff539be9d,"Doc: OkHttpClient should be treated as immutable once shared <enter>  <enter> ...given that requirement, it's safe for many threads to call the <enter> open() method concurrently to open their own connections. <enter>  <enter> https://github.com/square/okhttp/pull/634#discussion_r10487815",2014-03-11T19:57:33Z,1,9,0
2811,2,0,https://github.com/apache/dubbo/commit/53dca537089441e84160391c8f7efd7b40dd9155,Remove redundant judgment (#5456),2019-12-11T08:37:21Z,1,7,0
5775,3,3,https://github.com/square/retrofit/commit/00a2db876fc5c0447a3617837894f30890cde367,Adding GET support to RestAdapter,2011-01-20T18:44:53Z,2,207,0
16206,5,0,https://github.com/spring-projects/spring-boot/commit/abcff3a3b382f227f257b750415975c6694d4cb2,Use try-with-resources in HttpTunnelPayload <enter>  <enter> See gh-11779,2018-01-25T18:55:38Z,1,22,0
2525,2,0,https://github.com/apache/dubbo/commit/5668d740766f6303e789f072100cd235e4b67582,"Fix export provider error, change to catch throwable, handle NoClassDefFoundError (#6380)",2020-07-01T03:42:09Z,3,12,0
756,1,3,https://github.com/junit-team/junit4/commit/6b943e564adcc9a7106e54c24eb5d022bed1462f,changed the expectedCause() method to accept a Matcher instead of an explicit Throwable and made some documentation changes,2012-04-19T12:05:53Z,2,47,1
564,1,3,https://github.com/junit-team/junit4/commit/aff46c491d590ff2fcc43d0eaa0049593f6169b4,closed method assertEquals with },2012-05-27T18:56:07Z,1,1,0
5113,3,0,https://github.com/square/retrofit/commit/f4ee9e28a6380662ea0ab8a9a02adbd021ef55e8,Added more tests for RxJava Single type support <enter>  <enter> Single.toBlocking() is present since RxJava 1.0.16 version.,2016-01-02T00:32:40Z,1,100,0
1247,1,0,https://github.com/junit-team/junit4/commit/3189af007b26d74ca459f823d57ef77b9c1697b8,Remove redundant field fCause,2014-03-03T21:57:12Z,1,5,0
5470,3,2,https://github.com/square/retrofit/commit/1f0920af8eb159eec3c41f159adb3d790fdff5b8,UserService example in MockRestAdapter should be an interface,2013-11-07T21:27:32Z,1,2,0
5464,3,3,https://github.com/square/retrofit/commit/9159571ec483f5b798e85c2ee94673fa1075384c,Last argument should be handled for observable methods,2013-11-10T17:17:36Z,1,4,0
1077,1,2,https://github.com/junit-team/junit4/commit/b19ff583ce5cb5527dab83a1f336c7526463dac4,Fixed failing tests when running on Windows. <enter>  <enter> Note that File.separator is not sufficient to build an absolute path on Windows. <enter> String.format with '%n' produces a platform dependent line separator. <enter>  <enter> Closes #1409,2017-01-09T21:27:32Z,2,16,0
489,1,2,https://github.com/junit-team/junit4/commit/ebb9d7f536a5b1be8364c6cb7367cac8c3849caa,Implemented the changes proposed davidhart82,2012-06-21T17:39:39Z,1,6,0
12264,5,0,https://github.com/spring-projects/spring-boot/commit/7daade21c4ef296499f11d0413c91d9e029bc576,"Support escaped characters in BasicJsonParser <enter>  <enter> This commit adds the ability to have escaped characters, like the quote, <enter> when using the BasicJsonParser. It also adds a short test for escaped <enter> quotes. <enter>  <enter> Closes gh-14521",2018-09-19T00:41:57Z,2,17,0
8402,4,3,https://github.com/square/okhttp/commit/4910039a572abc6d20cac48eb2c5e92591520537,Support querying & setting transport lists on connections. <enter>  <enter> The list is specified via a magic request property <enter> 'X-Android-Transports' and can be queried via the request <enter> property 'X-Android-Selected-Transport'. <enter>  <enter> System wide defaults / switches don't need any changes <enter> to okhttp. They can be set as options on the OkHttpClient <enter> used by the platform UrlStreamHandlers.,2013-06-03T09:55:52Z,5,90,0
5595,3,0,https://github.com/square/retrofit/commit/b3fcdca9939f376d9f825bb6ccaeeaa97c0f8325,"Fix inconsistencies in javadocs. <enter>  <enter> These changes were made with consistency in mind, in relation to the rest of the project: <enter>  - Change self-closing <p/> tags to regular <p> tags. <enter>  - Add missing <p> tags.",2013-03-01T23:26:51Z,3,13,0
4050,2,2,https://github.com/apache/dubbo/commit/bcb6eeec1d978d6d572ebec875d34dc64aeb5121,fix return type (#3284),2019-01-21T03:15:02Z,1,6,0
20363,5,0,https://github.com/spring-projects/spring-boot/commit/b7847d98a780c14ba9b1eec62b04acff9bf3c97d,"Auto-configure Neo4J BookmarkManager when possible <enter>  <enter> Add `Neo4jBookmarkManagementConfiguration` which provides an instance <enter> of `BookmarkManager` if necessary and Caffeine cache is on the <enter> classpath. Depending on the kind of application, the `BookmarkManager` <enter> will be request scoped or singleton, as recommended by Spring Data <enter> Neo4j. <enter>  <enter> See gh-14568",2018-09-21T11:36:44Z,3,125,0
7050,4,0,https://github.com/square/okhttp/commit/d4a9cf4772ae9d8991e58d934dea433798c9b8eb,`response` receives null explicitly from several catch clauses => Fix nullability (override default parameter nullability set at package-info). (#3449),2017-07-09T04:30:01Z,3,9,0
5445,3,3,https://github.com/square/retrofit/commit/e8e30931a53393becb20556f579685141e733a19,Add default constructor to SimpleXmlConverter,2014-01-07T06:44:35Z,1,5,0
736,1,3,https://github.com/junit-team/junit4/commit/0b62513fa20ea3975a580e5b89dad265f54d6112,Simplifying isEqualsRegardingNull.,2012-02-03T00:33:41Z,1,9,0
7618,4,3,https://github.com/square/okhttp/commit/bebea4679ead5f9779ad00c3570ea68eb2a8dea7,Log favicon request instead of using standard output,2015-10-31T18:58:14Z,1,4,0
6490,4,0,https://github.com/square/okhttp/commit/c6c7ce7dadf2ccaa04122f57a278a4a96d1f5c50,"DiskLruCache snapshot() method removing entries that are being cached (#3905) <enter>  <enter> Fixed a bug I found. <enter> When using DiskLruCache, hasNext() method of Iterator<Snapshot> returned by snapshot() method iterates through lruEntries, however if entry is not completed yet, it is removed (together with dirtyFiles) as cleanFiles don't exist yet - during saving response to disk. This caused sometimes file not being cached at all.",2019-06-29T19:08:31Z,1,21,0
24509,5,3,https://github.com/spring-projects/spring-boot/commit/1cbef022360a88f8cd45b838c2d615a8450465f9,Add messagecode resolver format based on application property,2014-04-28T19:00:07Z,2,53,0
2481,2,0,https://github.com/apache/dubbo/commit/f9f10ba5225e80c34953f56123ac1702c13e45c7,"In order to facilitate the consumer to better locate the failure of provider token check, the token value called by consumer will be printed out in the exception information (#6800)",2020-10-13T03:06:55Z,1,4,0
5161,3,0,https://github.com/square/retrofit/commit/408a975f4c35438118f613bbeed912e1b0f71ec3,Update multipart documentation.,2015-10-07T12:01:41Z,3,27,0
4100,2,0,https://github.com/apache/dubbo/commit/624d3aea9c1f1f7759c71b00dd38a9bdb720cd8d,Support protocol config for reference annotation (#1675),2018-06-11T05:59:38Z,2,5,0
2642,2,0,https://github.com/apache/dubbo/commit/7a73b3f86a0fbf75f7c190b813dace642bd4a9c7,[Dubbo-5592] simplify code for getExtensionLoader method (#5593),2020-03-21T14:25:22Z,1,8,0
4502,2,3,https://github.com/apache/dubbo/commit/841f6c2612d049ac0aa8bcbb6a00dad8d77a6fca,add ProtectionDomain for dynamicly created class,2013-03-11T13:02:08Z,1,2,0
4501,2,3,https://github.com/apache/dubbo/commit/105a0c7d11d6e96f6ba692751b805a4a522dbd32,set ProtectionDomain for newly generated Class,2013-03-20T03:13:59Z,1,8,0
8357,4,2,https://github.com/square/okhttp/commit/d3a92ff9d511b40ce65f24f95901f53a1240dc74,spdy 3 support length 0 header value,2013-08-14T03:52:54Z,1,1,0
8313,4,2,https://github.com/square/okhttp/commit/1c90331a3dc9856e31fac14b58d856cb2dd83d89,getMtu issue,2013-12-28T05:30:22Z,1,8,0
8405,4,3,https://github.com/square/okhttp/commit/1192af61fd1f6a102a7d74422e83dfb1fc9a94b9,Add current AOSP class name for OpenSSLSocketImpl <enter>  <enter> AOSP moved OpenSSLSocketImpl to com.android.org.conscrypt.* so add that <enter> as the first choice for unbundled apps. <enter>  <enter> Change-Id: I7bad6533dcb86ee1cac3b15f42dd386bd651eaed,2013-05-28T22:49:54Z,1,9,0
7984,4,3,https://github.com/square/okhttp/commit/4f0cf03bed4180e4e277a99e1194cc17b0d198d4,Expose running and queued call counts for monitoring,2015-04-13T22:51:36Z,1,8,0
4558,2,2,https://github.com/apache/dubbo/commit/bfac27b7fe7fb1e5439604a73e0fe59db01f1457,DUBBO-135 fix test case <enter>  <enter> git-svn-id: http://code.alibabatech.com/svn/dubbo/trunk@1993 1a56cb94-b969-4eaa-88fa-be21384802f2,2012-06-13T12:28:25Z,1,34,0
6812,4,3,https://github.com/square/okhttp/commit/c951e6ed887ad8b9595652f39dad646590b22037,APIs to set date headers,2018-10-31T15:31:05Z,3,119,0
16185,5,0,https://github.com/spring-projects/spring-boot/commit/ee37dc1c31e2975a905e2e94bfecec3cf5e1c016,Make sure exception tag values are not empty in web metrics <enter>  <enter> See gh-13187,2018-07-18T22:04:44Z,4,49,0
4882,3,0,https://github.com/square/retrofit/commit/329a9fda122f29a40f49482d421f260bf148ee83,Ability to add Http status code to Response.success (#2715),2018-03-27T14:33:32Z,2,27,1
7250,4,3,https://github.com/square/okhttp/commit/a0b9308d270c6d107c57adb1d017901897b5c9a4,Update Javadoc example,2016-07-08T10:03:11Z,1,2,0
21573,5,0,https://github.com/spring-projects/spring-boot/commit/49ef93602e4db89944a5897fb250121186161d2c,Add external-file-property to LogFileMvcEndpoint <enter>  <enter> Add an additional property to LogFileMvcEndpoint to allow log files to <enter> be read from an external location. This is helpful when a launch.script <enter> is used to start the boot-application and the logfile is written by a <enter> redirect of stdout/stderr. <enter>  <enter> Fixes gh-4255 <enter> Closes gh-4836,2015-12-24T00:06:00Z,3,53,0
5594,3,3,https://github.com/square/retrofit/commit/a10def06d7a3ec75de30fee9c2dfd47837201eba,Add response object to callback success. <enter>  <enter> Gives access to response headers while still converting response within retrofit.,2013-03-10T22:10:10Z,6,69,0
3662,2,2,https://github.com/apache/dubbo/commit/e35084015b6af5b39fe8dca279202e81d59ce082,fix methodName and retries in FailoverClusterInvoker (#2145),2018-08-09T09:58:10Z,1,8,0
14619,5,0,https://github.com/spring-projects/spring-boot/commit/fe6da39e1bf1fae0f5c725c9ffb7b28f386f9eec,Remove boxing <enter>  <enter> See gh-18552,2019-10-10T06:21:16Z,2,16,0
865,1,0,https://github.com/junit-team/junit4/commit/3920f3fe11dffc904e1ab41a9ff4fc9d36b1c25b,Making Super and Sub member classes as suggested. <enter> https://github.com/KentBeck/junit/pull/293/files#r403246,2012-01-31T19:52:41Z,1,12,0
6545,4,3,https://github.com/square/okhttp/commit/e7a704a1cea504d293eec9c93cf4dcaa4ec376f3,Update javadoc,2019-04-01T09:02:42Z,1,2,0
20584,5,2,https://github.com/spring-projects/spring-boot/commit/560ffc905661a8981f7845cc8e8d95e9bec835c6,Do not attempt to restart non-restartable jobs <enter>  <enter> Closes gh-3830,2015-08-26T10:22:44Z,2,24,0
5459,3,2,https://github.com/square/retrofit/commit/f1d7acb377874a102a5e14eb64a70271975c167a,fixed javadoc,2013-11-16T20:29:08Z,1,5,0
373,1,2,https://github.com/junit-team/junit4/commit/dda4d08fc64933a8e4af33b745bd8219682b7bcb,Fixes imports,2012-12-06T17:29:51Z,1,11,0
602,1,3,https://github.com/junit-team/junit4/commit/32330b13f2ded8603665264f8400ddf1f6dd969a,"make MethodSorter.NAME_ASCENDING a deterministic comparator, with Method.toString used as a tiebreaker",2012-05-30T11:38:31Z,3,13,0
5427,3,3,https://github.com/square/retrofit/commit/0284a813dbd69be3f13fb60fe3be128379df7a64,RequestBuilder: Support Iterable / Map for @Field,2014-01-31T00:29:38Z,2,61,0
2905,2,3,https://github.com/apache/dubbo/commit/7e0ef420b63b418baf182cbc92dce7cc795fa2b8,ExtensionLoader try to load from itself ClassLoader when can not find resources.,2019-10-08T11:54:41Z,1,7,0
4997,3,0,https://github.com/square/retrofit/commit/d32c626ed0da7001aa533ba32c9752c77cdc71a9,Close ResponseBody on 204/205 to avoid connection leak,2016-09-20T13:11:43Z,1,1,0
2978,2,0,https://github.com/apache/dubbo/commit/a5cc7a26179aab97b3bee3fcc93fe90ac0ecb29f,reduce the level of request data in  timeout log (#5149) <enter>  <enter> to control the size of log,2019-10-10T00:36:18Z,1,8,0
2806,2,0,https://github.com/apache/dubbo/commit/3b03c3f29807b654b12af5376ecedd494be12acb,[Dubbo-4863] add switch of generic invocation with class info (#5412) <enter>  <enter> fix #4863,2019-12-11T12:25:46Z,2,12,0
26692,5,0,https://github.com/spring-projects/spring-boot/commit/6fcbf80b31b33ca725c58e785ae257c8dcb2f627,Add support for additional Kafka listener properties <enter>  <enter> See gh-11502,2018-01-04T16:45:13Z,3,98,0
291,1,0,https://github.com/junit-team/junit4/commit/ad9972ba5d135d1c5673f0773cb7027f7823feb5,Prefer interfaces over concrete classes <enter>  <enter> Makes code easier to scan by removing unnecessary noise.,2015-03-10T19:37:47Z,5,14,0
6657,4,0,https://github.com/square/okhttp/commit/e7a04f92a2f5d1fa13866b333dada999c3c11fd8,Release websocket transmitter before failing response #4695,2019-03-08T11:10:56Z,1,2,0
3357,2,2,https://github.com/apache/dubbo/commit/2e660dfef7282b43bc58113df39e61b7a79bdf0e,Dubbo-3473 Fix Not Properly Closed Resources (#3474),2019-03-07T10:08:55Z,2,6,0
1557,1,0,https://github.com/junit-team/junit4/commit/2b6fa701e84625c511b03079296774cc0904ef1a,"Bug: ParentRunner lost test Class from a separate class loader (#1252) <enter>  <enter> * Bug: ParentRunner lost test Class from a separate class loader <enter>  <enter> When junit.jar located in one ClassLoader but runing tests in another ParentRunner can lost information about run class. <enter> For example if use @ClassRule and request test class(org.junit.runner.Description#getTestClass) we can get null, <enter> because ParentRunner instead of set Class as is to Description tranform it to class name string, <enter> as result org.junit.runner.Description#getTestClass execute Class.forName and can't find test class. <enter>  <enter> Spring-test fail with exception if we try use SpringClassRule <enter>  <enter> ``` <enter> java.lang.NullPointerException <enter>  at org.springframework.test.context.junit4.rules.SpringClassRule.validateSpringMethodRuleConfiguration(SpringClassRule.java:186) <enter>  at org.springframework.test.context.junit4.rules.SpringClassRule.apply(SpringClassRule.java:134) <enter>  at org.junit.rules.RunRules.applyAll(RunRules.java:26) <enter>  at org.junit.rules.RunRules.<init>(RunRules.java:15) <enter>  at org.junit.runners.ParentRunner.withClassRules(ParentRunner.java:245) <enter>  at org.junit.runners.ParentRunner.classBlock(ParentRunner.java:194) <enter>  at org.junit.runners.ParentRunner.run(ParentRunner.java:362) <enter>  at org.junit.runner.JUnitCore.run(JUnitCore.java:137) <enter> ``` <enter>  <enter> As solution, now ParentRunner create Descriptor with explicit specify Class, name and uses annotations. <enter>  <enter> * Restore backward compatibility with sub class of ParentRunner that override getName method <enter> * Add ParentRunnerClassLoaderTest to AllClassesTests suite",2016-09-17T22:41:10Z,5,163,0
5474,3,3,https://github.com/square/retrofit/commit/6eb605e8be8add7e3a9c3d0047e3c6d5e7e183a9,Code review,2013-10-28T06:58:33Z,2,9,0
5179,3,0,https://github.com/square/retrofit/commit/6843b42c3761cc4bea261ac86c2ea6bc70b04334,Remove outdated reference,2015-09-19T20:27:46Z,1,3,0
22366,5,0,https://github.com/spring-projects/spring-boot/commit/569b850fe0cbf930115a9fa32bb9088b8ec7203a,Default to optimized launch of the JVM when using spring-boot:run <enter>  <enter> See gh-16941,2019-05-22T14:35:29Z,1,9,0
2015,1,3,https://github.com/junit-team/junit4/commit/71ce2b015df78f167e4681b097cadc2e0e6655e2,JUnit4 runner as a pointer to the current default,2008-08-06T13:29:14Z,2,42,0
2020,1,3,https://github.com/junit-team/junit4/commit/ca6d91f41d566b21b643b013e843732e1315652f,Failing assumptions can be listened for.,2008-07-31T14:57:25Z,7,66,0
2022,1,2,https://github.com/junit-team/junit4/commit/50b9c949876189d8c4871471ec346988e4ccae06,Better validation in Theories,2008-07-31T14:28:18Z,4,34,0
2052,1,3,https://github.com/junit-team/junit4/commit/8c61443793e4c2e90a4056ee528c3880febb53d2,Move deprecated classes back where they used to be.,2008-06-26T15:20:39Z,7,30,0
2061,1,3,https://github.com/junit-team/junit4/commit/65ff7563cc41bc7158d05e69ea0e1ec7bc0f6bd5,Finishing javadoc for org.junit.runner.*,2008-06-09T15:19:20Z,3,35,0
2062,1,3,https://github.com/junit-team/junit4/commit/f691c8f29653e75a8bac5e7bec1861e948966978,Javadocs for three more classes,2008-06-03T17:14:15Z,3,23,0
2063,1,3,https://github.com/junit-team/junit4/commit/3a7fe9fb7714a890a307ff6d7695e70548ebc457,Added profile task to build.xml,2008-06-03T16:16:52Z,1,16,0
2069,1,0,https://github.com/junit-team/junit4/commit/98555e6c5b77b59017eeaa6b54f65c1717c16b72,JavaDoc cleanup,2008-05-12T15:48:00Z,2,5,0
2089,1,0,https://github.com/junit-team/junit4/commit/d148bce8682505082a3cc634acbd36ac13a10c9a,"A SuiteBuilder can be explicitly passed to a Runner class that needs one in its constructor.  This eliminates the ugly global constant SuiteBuilder in Suite, and breaks the cyclic dependency between runners and requests",2008-01-10T04:12:53Z,6,181,0
2101,1,0,https://github.com/junit-team/junit4/commit/5af049cac0c976c586d955607fa459aacb778d3c,Remove unnecessary comments,2007-12-13T07:43:48Z,4,55,0
2102,1,0,https://github.com/junit-team/junit4/commit/5e4f8e7fb82919d992887fca1741bb04ef1c8f4a,New Suite implementation makes ClassesRequest crazy simple,2007-12-13T07:43:13Z,2,17,0
2112,1,3,https://github.com/junit-team/junit4/commit/42beed3ad166a9cceefc59f6c79a16844cae0d02,"ParentRunner handles filtering and sorting for all runners, now including CompositeRunner",2007-12-10T18:38:41Z,4,73,0
2122,1,2,https://github.com/junit-team/junit4/commit/8a8008c96936d468a2f579bcea9a71e965558d57,Ignored tests should be shown differently in stack trace section of report,2007-12-07T18:44:09Z,1,2,0
2125,1,0,https://github.com/junit-team/junit4/commit/0d6cd750d53486f01f12ddfee8657d94b5940574,Remove old todo,2007-12-07T18:42:28Z,1,2,0
2141,1,3,https://github.com/junit-team/junit4/commit/81ef67251efba98fd6bb1065e9ab97c102dbcc24,"No matching parameters is now an assumption failure, not an assertion failure",2007-12-07T16:32:57Z,1,12,0
2142,1,1,https://github.com/junit-team/junit4/commit/b52e4af4eb7b26619e1d80537952aed7276766cb,Remove,2007-12-07T16:31:54Z,1,3,0
2153,1,3,https://github.com/junit-team/junit4/commit/897fa2227e26f221e5efa4f95a805f7ff1ccac5f,Now includes filtering,2007-12-05T15:43:52Z,1,25,0
2162,1,3,https://github.com/junit-team/junit4/commit/a6368e40e787e7a23c9f1e58d6a47bf9fa2d0a2c,Pull classBlock up into ParentRunner,2007-11-26T17:07:36Z,4,69,0
2204,1,3,https://github.com/junit-team/junit4/commit/7ce9e33e556cf1817d94f769e09c9d22b8d2764d,"Leave this method in--it's used by the JMock custom runner, and possibly others",2007-08-06T20:00:50Z,1,7,0
2275,1,3,https://github.com/junit-team/junit4/commit/53b526ebaa46a5027cf1bc5a820b47badc83a3ed,Methods on inaccessible superclasses of test classes are caught during validation,2006-06-28T20:55:36Z,5,34,0
4741,3,3,https://github.com/square/retrofit/commit/a1897aebc2678d5ca1f3ae09416030673d415ab2,Small fixes from error-prone,2020-03-25T13:47:20Z,5,54,0
4762,3,0,https://github.com/square/retrofit/commit/9d683b75b111e60d30da8a03335d2ce71f5e8585,"Migrate forced suspension mechanism from yield to Dispatcher.Default <enter>  <enter> Since it's possible for certain dispatchers to completely avoid yielding, and currently the immediate dispatchers exhibit this behavior, we need an alternate mechanism of forcing suspension or UndeclaredThrowableExceptions will still be seen. <enter>  <enter> Retrofit does not have its own thread pool onto which we can defer resuming. Instead we rely to Dispatchers.Default and forcibly suspend the caller using low-level coroutine intrinsics.",2019-11-22T01:53:06Z,1,80,1
4781,3,0,https://github.com/square/retrofit/commit/948a0db7ef1d46c66237ed2feb9f6f08ee159c68,"Allow service interfaces to extend other interfaces <enter>  <enter> With a higher minSdkVersion, the bug which prevented this on Android no longer exists.",2019-07-04T03:25:20Z,3,94,0
4798,3,0,https://github.com/square/retrofit/commit/cb998173485b21af3c60abf3f64010b8a6b55559,Add more obviously missing @Nullable annotations,2019-02-28T21:47:29Z,3,10,0
4800,3,3,https://github.com/square/retrofit/commit/47ebf3e63e13986738fa4f6e54ddba26b38bf181,Back suspend methods with the CallAdapter for Call. <enter>  <enter> This allows the regular mechanism of composition of behavior without explicitly needing to model suspending functions in the API.,2019-03-01T02:53:39Z,3,188,0
